model,cv_f1_positive_mean,cv_f1_positive_sd,cv_average_precision_mean,test_f1_positive,test_average_precision,test_roc_auc
Logistic regression,0.6065302386400785,0.014362666219595806,0.6720892159807482,0.6013628620102215,0.6200472451209236,0.8957622387298462
Linear SVM,0.6087213854908954,0.008867887580568638,0.6733971360429841,0.6203110704483074,0.6242638816875905,0.9019622512795017
Polynomial SVM,0.6080682272909164,0.04742404582330972,0.6316240010275559,0.6208842897460018,0.6063471330305102,0.8720763726990287
RBF SVM,0.6494047725895363,0.04066443375952375,0.6529297576248002,0.6344950848972297,0.6298915455138702,0.8944043016357995
