model,cv_f1_positive_mean,cv_f1_positive_sd,cv_average_precision_mean,test_f1_positive,test_average_precision,test_roc_auc
Logistic regression,0.4798050537636272,0.036480155394231883,0.4011795873876674,0.5118549511854951,0.4826107422392991,0.7872104233293435
Linear SVM,0.4687769212812391,0.03909285449744688,0.40094024541882844,0.5205091937765205,0.46996034151337046,0.7887310184632418
Polynomial SVM,0.507334996339964,0.042926385754969175,0.497583493503043,0.6032482598607889,0.6955158550016041,0.8620067316677504
RBF SVM,0.5368189406417713,0.04557847221050232,0.5559849283091188,0.5985970381917382,0.6763121189461402,0.8591658534130504
